"post_id","cluster","x","y","z"
"2949","35","37.599006650","3.083165407","-4.669311523"
"2951","75","3.210521460","-3.154544353","27.677261350"
"2953","33","7.460080147","12.263126370","-38.315357210"
"2955","42","-4.604092598","39.753414150","0.568139613"
"2957","44","-2.626669407","30.936220170","5.355601311"
"2327","20","-7.298531532","10.931715970","-6.781485558"
"2329","38","-14.440094950","20.825359340","-23.713514330"
"2331","20","-6.360490322","10.763064380","-4.482619762"
"2333","20","-6.938588142","10.756160740","-5.581481934"
"2335","60","36.046936040","2.612550974","-8.770357132"
"2337","27","8.743508339","24.811775210","-12.937088010"
"2339","35","36.743442540","4.618379116","-7.878304482"
"2341","35","36.015682220","4.853526115","-8.129657745"
"2343","6","10.083057400","7.759934902","1.206927180"
"2345","75","2.738879681","-3.197906971","27.041587830"
"2959","86","-42.302547450","4.732707024","3.798498631"
"2961","42","34.202548980","8.638763428","-4.323603153"
"2963","44","-11.546593670","52.451915740","7.412160397"
"2965","27","36.153053280","26.430746080","-16.309871670"
"2967","35","34.831443790","2.767445803","-6.106606960"
"2969","35","35.085624690","2.692264080","-7.128929138"
"2971","10","-12.413332940","41.291008000","-5.059452057"
"2973","21","-8.336838722","34.635437010","-24.208152770"
"2975","67","26.931135180","-29.027820590","10.196681020"
"2977","85","-12.996780400","8.353978157","-37.068637850"
"2979","21","-8.656844139","41.347980500","-5.861752510"
"2981","38","-11.435025220","29.430809020","-31.592443470"
"2983","38","-11.036062240","29.617816930","-32.246437070"
"2985","75","-10.885804180","42.472652440","-6.150435925"
"2987","10","-8.364860535","43.307758330","-4.802223206"
"2989","10","-9.687257767","42.893589020","-4.163643360"
"2991","10","-9.740243912","41.760417940","-4.440417290"
"2993","78","-8.380044937","40.621162410","-6.947156906"
"2995","19","6.768554688","20.423007970","-21.846990590"
"2997","25","-15.719991680","2.247009516","-26.737266540"
"2999","27","-11.474653240","17.756277080","-37.220863340"
"3001","10","-14.177759170","48.000160220","15.594026570"
"3003","42","36.043720250","6.195322990","-5.603080750"
"3005","35","35.039497380","4.076514244","-5.225674152"
"3007","21","6.584469318","21.448875430","20.695037840"
"3009","26","20.541662220","21.150047300","-21.098272320"
"3011","38","-7.914732456","13.194256780","-34.219589230"
"3013","86","-24.752861020","16.755916600","4.598922729"
"3015","40","8.836176872","22.578426360","-10.747968670"
"3017","27","15.379587170","16.710088730","-25.237262730"
"3019","21","38.315406800","18.356599810","-12.694802280"
"3021","25","-16.720281600","6.801187992","-35.620323180"
"3023","45","-35.755409240","21.667360310","-18.871044160"
"3025","7","-16.928482060","20.837654110","-20.515121460"
"3027","21","9.755671501","19.511405940","-28.041683200"
"3029","10","24.392589570","-39.838756560","13.661942480"
"3031","21","23.279006960","4.594455242","-19.215175630"
"3033","78","7.304914951","-4.732048035","21.258811950"
"3035","27","7.456221581","23.550754550","-14.460971830"
"3037","78","2.086528063","-17.462333680","13.873101230"
"3039","73","35.599216460","3.695080519","-19.845705030"
"3041","22","-31.567138670","20.233821870","-24.249469760"
"3043","14","-29.765144350","41.748764040","-2.443511009"
"3045","33","11.002370830","-9.100639343","-29.456441880"
"3047","72","-18.292839050","26.541677470","1.201798081"
"3049","41","46.184993740","-12.758166310","-14.557505610"
"3051","0","9.404390335","36.091861720","6.080719948"
"3053","65","2.365602493","-7.876467705","11.074440960"
"3055","41","16.580581670","10.989805220","-11.770189290"
"3057","73","33.230342860","7.001365662","-24.004184720"
"3059","64","-30.373863220","25.871326450","-5.568261147"
"3061","47","9.686285019","21.437253950","-25.221603390"
"3063","21","18.669851300","21.934043880","-20.934267040"
"3065","8","36.699810030","8.794881821","-14.596013070"
"3067","45","20.546201710","19.696439740","-35.617942810"
"3069","60","35.362148280","12.728324890","15.622423170"
"3071","38","-17.816911700","23.241582870","-24.997453690"
"3073","40","22.390264510","29.410203930","20.508161540"
"3075","47","33.082721710","33.789916990","-1.793437719"
"3077","47","12.635665890","28.071441650","-6.773148060"
"3079","47","35.815654750","12.113437650","15.107674600"
